,index,Feature name,Coefficients,p_values,Original feature name,Score Calculation,Score Preliminary
0,0,Intercept,-0.6668985514496297,,Intercept,377.42568260937435,377.0
1,1,grade:A,0.4981795036145087,1.5528254822494644e-08,grade,39.94830979212736,40.0
2,2,grade:B,0.4541112476453247,2.7354611661875575e-14,grade,36.414538674120934,36.0
3,3,grade:C,0.3616634656871798,6.998933178297801e-11,grade,29.001281792888904,29.0
4,4,grade:D,0.3127799024829672,3.312990888765418e-09,grade,25.081377998259867,25.0
5,5,grade:E,0.2620944399432679,2.48148485388005e-08,grade,21.016982444443663,21.0
6,6,grade:F,0.10265836086225387,0.03568350386324082,grade,8.232028762168216,8.0
7,7,home_ownership:OWN,0.1035861646119874,2.649516498894954e-07,home_ownership,8.306428032615386,8.0
8,8,home_ownership:MORTGAGE,0.10145770191990992,9.50158801599472e-16,home_ownership,8.13574961973975,8.0
9,9,addr_state:NM_VA,0.03408385760218056,0.28658413420048945,addr_state,2.7331363344411383,3.0
10,10,addr_state:NY,0.055102719643524735,0.02269716434280851,addr_state,4.418609153401869,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.056063467440442445,0.01524237479133496,addr_state,4.495650160398157,4.0
12,12,addr_state:CA,0.054282286101925044,0.010295120532013,addr_state,4.352819748085351,4.0
13,13,addr_state:UT_KY_AZ_NJ,0.0752883548149694,0.0024661657855443897,addr_state,6.037266688144029,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.13543092823223332,1.7078958939109914e-09,addr_state,10.860014587519172,11.0
15,15,addr_state:RI_MA_DE_SD_IN,0.09043280816171809,0.0023918227092040185,addr_state,7.251678982385027,7.0
16,16,addr_state:GA_WA_OR,0.1799475679412568,1.3919846414433887e-11,addr_state,14.429740963449495,14.0
17,17,addr_state:WI_MT,0.2427004131405105,3.1856476162717075e-07,addr_state,19.4618028651712,19.0
18,18,addr_state:TX,0.22495105339747304,4.147404078735497e-18,addr_state,18.038506811274445,18.0
19,19,addr_state:IL_CT,0.2624808831221793,2.26398485658754e-19,addr_state,21.047970776392685,21.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.32643817464757824,2.948958217605377e-26,addr_state,26.176615525493176,26.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5134921217612711,3.9559292498934543e-22,addr_state,41.176206983836714,41.0
22,22,verification_status:Not Verified,0.1241886259127934,1.846024127834986e-17,verification_status,9.95851026513087,10.0
23,23,verification_status:Source Verified,0.06957984950140324,1.31149205971097e-07,verification_status,5.579509720902744,6.0
24,24,purpose:credit_card,0.2939751218241618,2.302406199821801e-25,purpose,23.57344923386763,24.0
25,25,purpose:debt_consolidation,0.20597278199872907,2.017085215879884e-15,purpose,16.516666069824048,17.0
26,26,purpose:oth__med__vac,0.22049699083666252,1.1512501765811847e-12,purpose,17.681341834149134,18.0
